categoria,subcategoria,descripcion,precio
Bebé,Cuidado del bebé,Esponja natural Planeta Bebé caja 1 unidad,"3,75 €
(3,75 €/UNIDAD)"
Bebé,Cuidado del bebé,Gel de baño dulces sueños Johnson bote 750 ml,"3,99 €
(0,53 €/100 ML.)"
Bebé,Cuidado del bebé,Champú gold Johnson bote 750 ml,"4,89 €
(0,65 €/100 ML.)"
Bebé,Cuidado del bebé,Gel de baño relajante recambio Planeta Bebé bolsa 750 ml,"1,55 €
(0,21 €/100 ML.)"
Bebé,Cuidado del bebé,Colonia Nenuco spray 240 ml,"3,99 €
(1,66 €/100 ML.)"
Mascotas,Perros,Alimento para perros adultos con buey As bolsa 18 Kg,"19,99 €
(1,11 €/KILO)"
Mascotas,Perros,Alimento para perros adultos mix buey As bolsa 15 Kg,"18,79 €
(1,25 €/KILO)"
Mascotas,Perros,Snack para perros palitos con pollo Deliperro bolsa 200 g,"1,39 €
(6,95 €/KILO)"
Mascotas,Perros,Alimento para perros menú mix completo y variado con buey As bolsa 4 Kg,"6,99 €
(1,75 €/KILO)"
Mascotas,Perros,Snack para perros Pedigree Biscrok caja 500 g,"1,99 €
(3,98 €/KILO)"
Mascotas,Perros,Alimento para perros completo Friskies bolsa 10 Kg,"24,99 €
(2,50 €/KILO)"
Mascotas,Perros,Alimento para perros selección de carnes Bon menu bolsa 10 Kg,"22,19 €
(2,22 €/KILO)"
Mascotas,Perros,Alimento para perros mini Ultima bolsa 1.5 Kg,"7,65 €
(5,10 €/KILO)"
Mascotas,Perros,Alimento para perros trozos en salsa con buey y verduras Deliperro lata 1.25 Kg,"1,79 €
(1,43 €/KILO)"
Mascotas,Gatos,Arena para gatos absorbente Deligato bolsa 5 Kg,"1,75 €
(0,35 €/KILO)"
Mascotas,Gatos,Arena para gatos compacta Deligato caja 4 Kg,"3,49 €
(0,87 €/KILO)"
Mascotas,Gatos,Arena para gatos absorbente perfumada Deligato bolsa 5 Kg,"1,89 €
(0,38 €/KILO)"
Mascotas,Gatos,Alimento para gatos rico en ave As bolsa 4 Kg,"6,69 €
(1,67 €/KILO)"
Mascotas,Gatos,Alimento para gatos multicomponente sabor pescado As bolsa 4 Kg,"6,89 €
(1,72 €/KILO)"
Mascotas,Gatos,Alimento para gatos esterilizados con salmón Ultima bolsa 1.5 Kg,"10,49 €
(6,99 €/KILO)"
Mascotas,Gatos,Alimento para gatos doble sabor Gourmet lata 680 g,"6,79 €
(9,99 €/KILO)"
Mascotas,Gatos,Snack para gatos sticks de salmón Deligato bolsa 10 unidades,"1,39 €
(0,14 €/UNIDAD)"
Mascotas,Gatos,Alimento para gatos en gelatina sabor pescado Félix bolsa 340 g,"1,99 €
(5,85 €/KILO)"
Mascotas,Otros animales,Barritas con fruta para periquitos Biazoo bolsa 60 g,"1,39 €
(23,17 €/KILO)"
